language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,lastCloseTevEbitLtm,lastClosePriceToNNWCPerShare,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,preMarketChange,preMarketChangePercent,preMarketTime,preMarketPrice,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,regularMarketChangePercent,currency,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,dividendYield,marketState,exchange,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,fiftyTwoWeekHigh,fiftyTwoWeekLow,averageAnalystRating,shortName,displayName,symbol,prevName,nameChangeDate,ipoExpectedDate
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,25.98955,-27.76182348286061,True,876403800000,2,15.410004,8.219545,1729162893.0,202.89,0.349991,1729108802,187.48,190.01,186.67 - 190.01,186.67,17923258,187.13,0.0,0.0,9,9,us_market,finmb_380075,NYSE,Taiwan Semiconductor Manufacturing Company Limited,TWD,189.78,15185407,12017330,102.53,1.2069453,0.187031,USD,84.95 - 194.25,-6.7700043,-0.034852017,101.40996,1736380800.0,1729162740.0,1729162740.0,1729162740.0,1729144800.0,1729144800.0,False,15.0,33.359432,2.47,0.080158174,1.32,PRE,NYQ,5.62,8.37,6.58,28.492401,5186079744,146.223,172.8362,14.643799,0.08472646,150.8233,36.656693,0.24304396,972286197760,22.399044,1.2821511,15,0,America/New_York,EDT,-14400000,False,False,False,194.25,84.95,1.6 - Buy,Taiwan Semiconductor Manufactur,Taiwan Semiconductor Manufacturing Company,TSM,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,59.75574,-9.348881580480352,True,1249565400000,2,4.75,2.6863475,1729162881.0,181.57,0.8400116,1729108801,176.82,179.25,175.33 - 179.25,175.33,15065194,175.98,177.06,177.64,1,1,us_market,finmb_25016048,NasdaqGS,Broadcom Inc.,USD,178.57,27546641,19138510,94.98601,1.1607157,0.47733355,USD,81.834 - 186.42,-9.599991,-0.051496573,102.781654,1727654400.0,1725567304.0,1733432400.0,1733778000.0,1725570000.0,1725570000.0,True,2.105,142.59679,2.12,0.011961587,1.2,PRE,NMS,1.24,6.15,4.82,36.684647,4670580224,59.221,163.9802,12.839813,0.078301,143.56299,33.25702,0.23165455,825852035072,28.75122,2.9857652,15,0,America/New_York,EDT,-14400000,False,False,False,186.42,81.834,1.8 - Buy,Broadcom Inc.,Broadcom,AVGO,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,61.033061,-18.38803920835434,True,76253400000,2,2.580017,0.28153217,1729162801.0,919.0,3.09998,1729108802,916.42,917.805,897.835 - 917.805,897.835,1275363,913.32,917.62,0.0,10,10,us_market,finmb_285467,NYSE,Eli Lilly and Company,USD,910.03,3144571,2044140,368.81,0.6734903,0.339418,USD,547.61 - 972.53,-56.110046,-0.057694923,54.59038,1725926400.0,1730291400.0,1730291400.0,1730291400.0,1730296800.0,1730296800.0,False,4.86,112.30637,5.2,0.0053212456,0.57,PRE,NYQ,8.16,23.1,13.35,68.64569,900425984,15.062,912.9974,3.4226074,0.0037487594,809.47217,106.947815,0.13212043,825168363520,39.67186,60.843178,15,0,America/New_York,EDT,-14400000,False,False,False,972.53,547.61,2.0 - Buy,Eli Lilly and Company,,LLY,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,,-0.24845081586768747,True,322151400000,2,-0.27000427,-0.12073165,1729161843.0,223.37,1.25,1729108802,223.64,223.66,221.07 - 223.66,221.07,4820467,222.39,223.2,223.82,9,9,us_market,finmb_658776,NYSE,JPMorgan Chase & Co.,USD,222.33,8805928,8757050,88.45,0.65426433,0.562076,USD,135.19 - 225.48,-1.8399963,-0.008160353,53.066277,1730332800.0,1736947800.0,1736947800.0,1736947800.0,1736947800.0,1736947800.0,False,4.6,12.438265,5.0,0.020684384,2.24,PRE,NYQ,17.98,16.73,18.79,11.902075,2815300096,115.151,212.2668,11.373199,0.053579737,196.59555,27.044449,0.13756388,629613723648,13.367603,1.9421455,15,0,America/New_York,EDT,-14400000,False,False,False,225.48,135.19,2.2 - Buy,JP Morgan Chase & Co.,JPMorgan Chase &,JPM,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,95.177013,-146.39667580984943,True,1277818200000,2,1.0599976,0.47892177,1729162893.0,222.39,1.7599945,1729108800,221.33,222.8199,218.93 - 222.8199,218.93,49241536,219.57,221.16,221.64,3,3,us_market,finmb_27444752,NasdaqGS,"Tesla, Inc.",USD,221.4,82790142,82686590,82.53,0.5945965,0.8015642,USD,138.8 - 271.0,-49.67,-0.18328412,-0.24533272,,1729713600.0,1729713600.0,1729713600.0,1729719000.0,1729719000.0,False,0.0,62.17135,,0.0,,PRE,NMS,3.56,3.06,2.28,97.07456,3194639872,20.81,225.9498,-4.6197968,-0.02044612,201.9569,19.373108,0.09592695,707069673472,72.33007,10.635753,15,0,America/New_York,EDT,-14400000,False,False,False,271.0,138.8,2.8 - Hold,"Tesla, Inc.",Tesla,TSLA,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,25.302862,-5.4437744320236385,True,83597400000,2,0.010002136,0.012314868,1729162615.0,81.23,-0.43,1729108802,81.22,81.65,80.6249 - 81.65,80.6249,9144732,81.65,81.15,0.0,11,13,us_market,finmb_313055,NYSE,Walmart Inc.,USD,81.53,16595684,12788840,31.373333,0.6293968,-0.526638,USD,49.84667 - 81.82,-0.5999985,-0.0073331515,52.36051,1736121600.0,1732026600.0,1732026600.0,1732026600.0,1732021200.0,1732021200.0,False,0.795,42.302086,0.83,0.009736681,1.02,PRE,NYQ,1.92,2.72,2.45,33.15102,8038249984,10.507,76.8876,4.3323975,0.05634715,65.47135,15.74865,0.2405426,652866682880,29.860294,7.730085,15,0,America/New_York,EDT,-14400000,False,False,False,81.82,49.84667,1.8 - Buy,Walmart Inc.,Walmart,WMT,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,22.958252,-17.059556037151943,True,1205933400000,2,-0.19000244,-0.06608321,1729162801.0,287.33,8.22998,1729108802,287.52,287.585,278.35 - 287.585,278.35,6830694,279.29,0.0,289.0,9,9,us_market,finmb_38043467,NYSE,Visa Inc.,USD,278.62,7619823,4347670,59.48999,0.26088667,2.94675,USD,228.03 - 293.07,-5.5500183,-0.018937517,19.45169,1725321600.0,1730232000.0,1730232000.0,1730232000.0,1730235600.0,1730235600.0,False,2.08,30.783724,2.08,0.0074474555,0.72,PRE,NYQ,9.34,11.08,9.92,28.98387,1670439936,20.057,274.6998,12.82019,0.046669822,273.61334,13.906647,0.05082591,559479390208,25.949457,14.335145,15,0,America/New_York,EDT,-14400000,False,False,False,293.07,228.03,1.9 - Buy,Visa Inc.,Visa,V,,,
en-US,US,EQUITY,Equity,Delayed Quote,False,LOW,10.226949,-4.564006464000407,True,-252322200000,2,0.33999634,0.28178048,1729161879.0,121.0,0.310005,1729108827,120.66,121.43,120.6 - 121.43,120.6,6784389,120.35,120.66,121.23,10,10,us_market,finmb_406338,NYSE,Exxon Mobil Corporation,USD,120.89,14281538,13919740,24.890007,0.25989357,0.257586,USD,95.77 - 126.34,-5.6799927,-0.04495799,6.4855814,1725926400.0,1730467800.0,1730467800.0,1730467800.0,1730467800.0,1730467800.0,False,3.76,14.433016,3.8,0.03124221,3.15,PRE,NYQ,8.36,8.3,8.09,14.91471,4442829824,60.413,117.139,3.5210037,0.03005834,112.79605,7.8639526,0.06971833,536071864320,14.53735,1.9972523,15,0,America/New_York,EDT,-14400000,False,False,False,126.34,95.77,2.2 - Buy,Exxon Mobil Corporation,Exxon Mobil,XOM,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,17.50993,-3.8888255194190298,True,466867800000,2,-6.340027,-1.1096766,1729162849.0,565.0,15.05,1729108802,571.34,576.1799,555.12 - 576.1799,555.12,4424039,556.29,558.56,573.99,10,10,us_market,finmb_104673,NYSE,UnitedHealth Group Incorporated,USD,557.01,3124142,3424110,134.96002,0.30927178,2.70543,USD,436.38 - 608.63,-37.289978,-0.061268713,4.6385646,1727136000.0,1728986100.0,1736515800.0,1736861400.0,1728996300.0,1728996300.0,True,7.96,37.172417,8.4,0.014309084,1.47,PRE,NYQ,15.37,30.32,27.62,20.685736,923417984,107.399,583.6344,-12.294373,-0.021065196,525.44116,45.898865,0.087353006,527585640448,18.843668,5.319789,15,0,America/New_York,EDT,-14400000,False,False,False,608.63,436.38,1.7 - Buy,UnitedHealth Group Incorporated,,UNH,,,
en-US,US,EQUITY,Equity,Nasdaq Real Time Price,False,LOW,29.926199,-4.084895927867691,True,357485400000,2,-0.08000183,-0.06778093,1729162748.0,117.95,0.220001,1729108802,118.03,118.06,116.4402 - 118.06,116.4402,3016791,117.81,117.49,0.0,9,9,us_market,finmb_323452,NYSE,Novo Nordisk A/S,DKK,116.95,4076257,4172820,25.089996,0.26995906,0.186742,USD,92.94 - 148.15,-30.119995,-0.20330743,20.632803,1724630400.0,1730874600.0,1730874600.0,1730874600.0,1723112100.0,1723112100.0,False,9.9,40.146255,1.45,0.08403361,1.23,PRE,NYQ,2.94,4.17,3.36,35.127975,3375670016,25.242,128.8326,-10.802597,-0.08384988,127.70125,-9.671249,-0.0757334,521441181696,28.304556,4.6759367,15,0,America/New_York,EDT,-14400000,False,False,False,148.15,92.94,2.3 - Buy,Novo Nordisk A/S,,NVO,,,
